number,fixation_start,fixation_time,fixation_object,class
1,6,3611,0,M
1,13,5818,0,M
1,54,5856,0,M
2,4,5640,1,M
2,51,8015,0,M
3,2,3208,2,M
3,25,3719,2,M
3,48,4319,1,M
4,0,6183,2,M
4,9,3375,2,M
4,13,4553,2,M
4,34,3419,1,M
4,45,4364,1,M
5,1,3608,2,M
5,5,3509,0,M
5,27,4019,2,M
5,34,4253,1,M
5,45,3056,0,M
5,55,3973,0,M
6,12,3152,2,M
7,13,3132,1,M
7,31,3453,0,M
7,55,4301,1,M
8,0,3019,1,M
8,11,4641,2,M
8,27,5774,0,M
8,34,3675,1,M
8,38,5794,2,M
8,45,3356,0,M
8,51,3653,1,M
9,7,4996,2,M
9,14,3421,2,M
9,33,5150,1,M
9,39,8985,1,M
9,52,7438,2,M
10,29,3164,2,M
11,8,3977,2,M
11,18,3920,2,M
11,22,4207,1,M
11,43,9693,2,M
11,55,3175,2,M
12,3,5188,1,M
12,10,8927,2,M
12,20,3020,0,M
12,24,3342,2,M
13,10,3020,0,M
13,15,7399,2,M
13,23,4008,2,M
13,32,3125,0,M
13,35,12158,2,M
13,53,6117,2,M
14,15,5528,2,M
15,24,3342,2,M
15,29,3066,2,M
15,43,3718,2,M
15,54,3775,1,M
17,7,3084,2,M
17,13,4385,2,M
17,30,3076,1,M
18,23,3131,1,M
18,34,5950,1,M
19,41,3096,0,M
19,45,3919,2,M
19,48,3763,2,M
20,2,3232,0,M
20,6,6651,1,M
20,13,3354,2,M
20,34,4197,2,M
20,47,3930,1,M
20,51,3631,0,M
21,1,3153,1,M
21,13,4419,1,M
21,21,5487,2,M
21,31,4745,1,M
21,56,3456,1,M
22,4,5384,0,M
22,16,4583,2,M
22,44,4220,1,M
22,50,5239,1,M
23,10,4395,2,M
24,0,3243,1,Z
24,16,5697,1,Z
25,2,4341,0,Z
25,17,9003,1,Z
25,27,3052,0,Z
25,37,5064,0,Z
25,46,4463,2,Z
25,56,3449,2,Z
26,8,3098,1,M
26,48,7228,1,M
26,56,3375,0,M
27,5,6464,1,M
27,20,5059,0,M
27,32,6407,2,M
27,39,3053,0,M
27,42,5129,0,M
28,51,3674,0,M
29,17,3919,0,M
29,21,6615,2,M
29,27,3452,1,M
29,34,3542,0,M
29,37,4617,1,M
29,50,4484,0,M
30,6,3175,1,M
30,12,3208,2,M
30,42,3109,0,M
30,46,7495,1,M
31,40,5652,1,M
32,34,3951,0,M
33,0,4163,1,M
33,11,4303,2,M
33,28,4768,1,M
33,43,4658,2,M
33,51,3552,0,M
34,40,3163,0,M
35,10,15212,2,M
35,53,3295,2,M
37,26,3797,1,Z
38,2,3309,1,M
39,13,3319,1,Z
39,46,3198,0,Z
40,23,3997,1,M
40,27,3662,2,M
40,42,3997,0,M
40,50,4595,2,M
40,55,4997,2,M
41,13,3575,2,M
41,30,4286,0,M
41,42,3797,0,M
42,11,3917,1,M
42,15,3098,0,M
42,19,4008,2,M
42,48,9305,2,M
43,0,4631,1,M
43,5,4147,0,M
43,9,4552,2,M
43,23,3587,0,M
43,28,3620,2,M
43,36,3587,1,M
43,45,4101,1,M
44,13,3597,0,M
44,17,4330,1,M
44,41,3398,1,M
45,14,5429,0,M
45,19,3453,1,M
45,45,7561,1,M
46,0,4385,1,M
46,4,3873,0,M
46,10,13802,2,M
46,28,4530,1,M
46,54,5918,1,M
47,8,5185,1,M
47,13,4307,0,M
47,23,6340,1,M
47,30,9626,0,M
47,46,3531,0,M
47,55,3009,1,M
48,3,6706,1,M
48,10,3408,0,M
48,45,4331,2,M
48,49,3564,2,M
48,53,5698,2,M
49,3,4155,1,Z
49,15,3024,1,Z
50,13,4529,1,Z
51,5,3374,1,Z
51,16,4486,1,Z
51,24,3874,2,Z
51,31,11659,0,Z
51,43,4475,2,Z
51,53,4484,0,Z
52,10,3406,0,Z
52,14,4152,2,Z
52,18,3308,0,Z
52,24,7805,1,Z
52,54,3198,0,Z
54,0,3510,1,Z
55,2,5119,1,Z
55,12,5362,1,Z
55,18,3541,1,Z
55,30,5443,0,Z
55,38,5840,2,Z
55,50,7738,0,Z
56,7,7114,2,Z
56,32,3001,1,Z
56,41,7903,0,Z
56,49,5363,1,Z
56,54,5172,1,Z
