number,front,plan,right,transition,fixation,class
1,22,9,757,788,3,M
2,25,18,946,989,2,M
3,21,22,1681,1724,3,M
4,21,31,2017,2069,5,M
5,20,8,1750,1778,6,M
6,19,27,1789,1835,1,M
7,23,17,1374,1414,3,M
8,14,9,1638,1661,7,M
9,16,9,2144,2169,5,M
10,24,18,1250,1292,1,M
11,12,8,2516,2536,5,M
12,21,15,1870,1906,4,M
13,12,6,3016,3034,6,M
14,26,17,2165,2208,1,M
15,15,22,2462,2499,4,M
16,25,20,1563,1608,0,M
17,27,15,2195,2237,3,M
18,32,18,1511,1561,2,M
19,19,16,2162,2197,3,M
20,22,9,1533,1564,6,M
21,21,20,1116,1157,5,M
22,20,19,1226,1265,4,M
23,41,21,1743,1805,1,M
24,18,25,1373,1416,2,Z
25,19,7,1323,1349,6,Z
26,25,16,998,1039,3,M
27,15,11,1325,1351,5,M
28,26,17,1119,1162,1,M
29,11,10,1185,1206,6,M
30,30,16,1653,1699,4,M
31,17,9,1568,1594,1,M
32,18,18,1440,1476,1,M
33,18,9,1938,1965,5,M
34,27,19,444,490,1,M
35,15,13,3050,3078,2,M
36,36,16,1274,1326,0,Z
37,26,21,1306,1353,1,Z
38,30,20,1923,1973,1,M
39,28,26,1447,1501,2,Z
40,15,7,2644,2666,5,M
41,24,14,1450,1488,3,M
42,20,13,2036,2069,4,M
43,13,18,1471,1502,7,M
44,36,19,1420,1475,3,M
45,19,7,1325,1351,3,M
46,11,7,1553,1571,5,M
47,11,8,819,838,6,M
48,24,20,1386,1430,5,M
49,27,25,1177,1229,2,Z
50,20,18,806,844,1,Z
51,11,11,1058,1080,6,Z
52,11,16,929,956,5,Z
53,29,16,1551,1596,0,Z
54,37,24,968,1029,1,Z
55,17,13,1016,1046,6,Z
56,11,8,1260,1279,5,Z
